1,英超,09-02 23:00,[18]伯恩利VS曼 联[13],析 亚 欧,5.673.731.65,310,,0%0%0%
2,英超,09-02 23:00,[04]沃特福VS热 刺[02],析 亚 欧,5.384.041.62,310,,0%0%0%
3,德甲,09-02 21:30,[18]莱比锡VS杜塞尔[11],析 亚 欧,1.404.737.85,310,,0%0%0%
4,德甲,09-02 23:59,[12]沙尔克VS赫 塔[07],析 亚 欧,1.743.505.12,310,,0%0%0%
5,意甲,09-02 23:59,[08]佛罗伦VS乌迪内[06],析 亚 欧,1.593.995.68,310,,0%0%0%
6,意甲,09-03 02:30,[20]切 沃VS恩波利[09],析 亚 欧,2.383.153.14,310,,0%0%0%
7,意甲,09-03 02:30,[04]亚特兰VS卡利亚[16],析 亚 欧,1.544.116.22,310,,0%0%0%
8,意甲,09-03 02:30,[14]都 灵VS费拉拉[03],析 亚 欧,1.623.795.64,310,,0%0%0%
9,意甲,09-03 02:30,[19]拉齐奥VS弗洛西[17],析 亚 欧,1.206.5814.25,310,,0%0%0%
10,意甲,09-03 02:30,[18]桑普多VS那不勒[02],析 亚 欧,6.014.251.53,310,,0%0%0%
11,意甲,09-03 02:30,[05]萨索洛VS热那亚[10],析 亚 欧,2.103.243.68,310,,0%0%0%
12,西甲,09-02 22:15,[19]阿拉维VS西牙人[04],析 亚 欧,2.843.052.65,310,,0%0%0%
13,西甲,09-03 00:30,[02]巴 萨VS韦斯卡[05],析 亚 欧,1.0712.0831.03,310,,0%0%0%
14,西甲,09-03 02:45,[18]贝蒂斯VS塞维利[03],析 亚 欧,2.733.592.43,310,,0%0%0%
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,